codigo,sigla,nome,ativa,tipo,apelido,casa,dataCriacao,dataExtincao,dataInstalacao,finalidade,historia,participacao,composicao,atualizadoEm
2469,PAT,Conselho do Prêmio Adoção Tardia - Gesto Redobrado de Cidadania,true,orgaos,,SF,2021-06-11,,,"O “Prêmio Adoção Tardia – Gesto Redobrado de Cidadania”, é destinado a agraciar pessoas ou instituições que desenvolvam, no Brasil, ações, atividades ou iniciativas destinadas a promover a adoção tardia de crianças e adolescentes.",,,[object Object],2025-05-10T23:59:10.381Z
2390,PCMSF,Conselho do Prêmio Chico Mendes,true,orgaos,,SF,2020-10-07,,,"É instituído o Prêmio Chico Mendes do Senado Federal, destinado a agraciar jornalistas que tenham produzido matérias relevantes sobre a preservação do meio ambiente e a promoção do desenvolvimento sustentável.",,,[object Object],2025-05-10T23:59:10.381Z
2552,PEEFF,Prêmio de Eficiência Educacional Florestan Fernandes,true,orgaos,,SF,2022-06-30,,,"O prêmio tem por objetivo valorizar os educadores e promover a divulgação de melhores práticas na educação nacional, identificando os educadores ou escolas responsáveis pela prática.",,,[object Object],2025-05-10T23:59:10.381Z
2041,PJE,Conselho do Prêmio Jovem Empreendedor,true,orgaos,,SF,2016-07-20,,,"O Prêmio Jovem Empreendedor é entregue pelo Senado Federal para agraciar estudantes jovens empreendedores e entidades governamentais ou não governamentais que tenham se destacado no âmbito da iniciativa privada ou por trabalho relacionado ao empreendedorismo, contribuindo significativamente para o desenvolvimento do País.",,,[object Object],2025-05-10T23:59:10.381Z
1940,PJRM,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,true,orgaos,,SF,2009-05-25,,,O Prêmio Jornalista Roberto Marinho de Mérito Jornalístico é entregue pelo Senado Federal a jornalistas que contribuíram para o engrandecimento do jornalismo brasileiro.,,,[object Object],2025-05-10T23:59:10.381Z
1546,PJS,Conselho do Projeto Jovem Senador,true,orgaos,,SF,2010-08-12,,,"O Programa Senado Jovem Brasileiro promove, anualmente, um concurso de redação entre estudantes de escolas públicas de todo o Brasil. Os vencedores de cada estado são trazidos ao Senado Federal, onde vivenciam o processo legislativo por uma semana atuando como Jovens Senadores.",,,[object Object],2025-05-10T23:59:10.381Z
1617,PMA,Conselho do Prêmio Mérito Ambiental,true,orgaos,,SF,2012-06-14,,,O Prêmio Mérito Ambiental homenageia pessoas e organizações que desenvolvem iniciativas na defesa do meio ambiente e na promoção do desenvolvimento sustentável.,,,[object Object],2025-05-10T23:59:10.381Z
1943,PSFHB,Conselho do Prêmio Senado Federal de História do Brasil,true,orgaos,,SF,2008-10-13,,,"O Prêmio Senado Federal de História do Brasil é entregue a três autores de obras que enfatizam aspectos políticos da História do Brasil.  Os agraciados são escolhidos por um concurso, julgado por historiados e acadêmicos.",,,[object Object],2025-05-10T23:59:10.381Z
2643,PTS,Conselho do Prêmio Trânsito Seguro - Gesto Redobrado para o Futuro,true,orgaos,,SF,2023-10-27,,,"O ""Prêmio Trânsito Seguro - Gesto Redobrado para o Futuro"" destina-se a agraciar educadores, escolas ou instituições que desenvolvam, no Brasil, ações e atividades destinadas a estimular a educação para o trânsito nas escolas e universidades.",,,[object Object],2025-05-10T23:59:10.381Z
2636,CAESM,Subcomissão Permanente Municipalista,true,subcomissao,,SF,2023-09-19,,,,,,[object Object],2025-05-10T23:59:10.380Z
2624,CASRARAS,Subcomissão Permanente de Direitos das Pessoas com Doenças Raras,true,subcomissao,,SF,2023-07-10,,,,,,[object Object],2025-05-10T23:59:10.380Z
