codigo,nome,partido,uf,cargo,tipoLideranca,nomeLideranca,siglaLideranca
6227,Luiz Philippe de Orleans e Bragança,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
5339,Marcon,PT,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6464,Cabo Gilberto Silva,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6208,Carla Zambelli,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6074,Eli Borges,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6441,Mauricio Marcon,PODEMOS,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6237,Kim Kataguiri,UNIÃO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
5280,Aguinaldo Ribeiro,PP,,[object Object],Líder do Congresso Nacional,Liderança da Maioria no Congresso Nacional,O
5998,Daniella Ribeiro,PP,,[object Object],Líder do Congresso Nacional,Liderança da Maioria no Congresso Nacional,O
4729,Carlos Zarattini,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo na CMO,G
5979,Leila Barros,PDT,,[object Object],Líder do Senado Federal,Liderança da Bancada Feminina no Senado Federal,F
6338,Teresa Leitão,PT,,[object Object],Líder do Senado Federal,Liderança da Bancada Feminina no Senado Federal,F
5988,Soraya Thronicke,PODEMOS,,[object Object],Líder do Senado Federal,Liderança da Bancada Feminina no Senado Federal,F
1230,Alberto Fraga,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6054,Marcel van Hattem,NOVO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6070,Silvia Cristina,PP,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6075,Gilson Marques,NOVO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6084,Bia Kicis,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6118,Filipe Barros,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6158,Luiz Lima,NOVO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6174,José Medeiros,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6506,Delegado Ramagem,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6399,Ricardo Salles,NOVO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6539,Delegado Paulo Bilynskyj,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
6575,Roberta Roma,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
3688,Giacobo,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria no Congresso Nacional,I
5718,Eliziane Gama,PSD,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
1173,Wellington Fagundes,PL,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
5959,Styvenson Valentim,PSDB,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
5793,Dr. Hiran,PP,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
5411,Weverton,PDT,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
4642,Efraim Filho,UNIÃO,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
6009,Astronauta Marcos Pontes,PL,,[object Object],Líder do Senado Federal,Liderança de Bloco no Senado Federal,B
6443,Zucco,REPUBLICANOS,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6123,Sanderson,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6464,Cabo Gilberto Silva,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6088,Coronel Chrisóstomo,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6458,Gustavo Gayer,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6420,Gilvan da Federal,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
5745,Joaquim Passarinho,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
5745,Joaquim Passarinho,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6221,Junio Amaral,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6539,Delegado Paulo Bilynskyj,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
5743,Delegado Éder Mauro,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6165,Chris Tonietto,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6572,Capitão Alden,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
2410,Osmar Terra,MDB,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6413,Rodrigo Valadares,UNIÃO,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
5706,Evair Vieira de Melo,PP,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6096,Sargento Fahur,PSD,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6418,Nikolas Ferreira,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
5986,Rodolfo Nogueira,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6449,Zé Trovão,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6469,Silvia Waiãpi,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6482,Coronel Assis,UNIÃO,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6508,Sargento Gonçalves,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6515,Mauricio do Vôlei,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6540,Mario Frias,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6551,Coronel Meira,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
6558,Delegado Caveira,PL,,[object Object],Líder da Câmara dos Deputados,Liderança da Maioria no Congresso Nacional,O
4694,Rogerio Marinho,PL,,[object Object],Líder do Senado Federal,Liderança da Oposição no Senado Federal,S
5748,Veneziano Vital do Rêgo,MDB,,[object Object],Líder do Senado Federal,Liderança da Maioria no Senado Federal,R
5722,Rubens Pereira Júnior,PT,,[object Object],Líder do Congresso Nacional,Liderança de Bloco na CMO,B
4632,Dagoberto Nogueira,PSDB,,[object Object],Líder do Congresso Nacional,Liderança de Bloco na CMO,B
